2023-12-04 19:05:09,217 - INFO - leon7 se movió a la posición [1, 4]
2023-12-04 19:05:09,218 - INFO - leon8 se movió a la posición [3, 26]
2023-12-04 19:05:09,218 - INFO - leon9 se movió a la posición [8, 1]
2023-12-04 19:05:09,532 - INFO - leon se movió a la posición [6, 11]
2023-12-04 19:05:09,532 - INFO - leon2 se movió a la posición [4, 6]
2023-12-04 19:05:09,532 - INFO - leon3 se movió a la posición [5, 3]
2023-12-04 19:05:09,532 - INFO - leon4 se movió a la posición [10, 4]
2023-12-04 19:05:09,532 - INFO - leon5 se movió a la posición [8, 9]
2023-12-04 19:05:09,532 - INFO - leon6 se movió a la posición [1, 2]
2023-12-04 19:05:09,532 - INFO - leon7 se movió a la posición [1, 5]
2023-12-04 19:05:09,533 - INFO - leon8 se movió a la posición [3, 25]
2023-12-04 19:05:09,533 - INFO - leon9 se movió a la posición [9, 1]
2023-12-04 19:05:09,847 - INFO - leon se movió a la posición [5, 11]
2023-12-04 19:05:09,847 - INFO - leon2 se movió a la posición [4, 7]
2023-12-04 19:05:09,847 - INFO - leon3 se movió a la posición [4, 3]
2023-12-04 19:05:09,847 - INFO - leon4 se movió a la posición [10, 5]
2023-12-04 19:05:09,847 - INFO - leon5 se movió a la posición [7, 9]
2023-12-04 19:05:09,847 - INFO - leon6 se movió a la posición [0, 2]
2023-12-04 19:05:09,848 - INFO - leon7 se movió a la posición [1, 4]
2023-12-04 19:05:09,848 - INFO - leon8 se movió a la posición [2, 25]
2023-12-04 19:05:09,848 - INFO - leon9 se movió a la posición [9, 0]
2023-12-04 19:05:10,148 - INFO - leon se movió a la posición [5, 10]
2023-12-04 19:05:10,148 - INFO - leon2 se movió a la posición [3, 7]
2023-12-04 19:05:10,149 - INFO - leon3 se movió a la posición [4, 2]
2023-12-04 19:05:10,149 - INFO - leon4 se movió a la posición [10, 4]
2023-12-04 19:05:10,149 - INFO - leon5 se movió a la posición [6, 9]
2023-12-04 19:05:10,149 - INFO - leon6 se movió a la posición [0, 1]
2023-12-04 19:05:10,149 - INFO - leon7 se movió a la posición [2, 4]
2023-12-04 19:05:10,149 - INFO - leon8 se movió a la posición [2, 24]
2023-12-04 19:05:10,149 - INFO - leon9 se movió a la posición [8, 0]
2023-12-04 19:05:10,463 - INFO - leon se movió a la posición [5, 11]
2023-12-04 19:05:10,463 - INFO - leon2 se movió a la posición [4, 7]
2023-12-04 19:05:10,463 - INFO - leon3 se movió a la posición [5, 2]
2023-12-04 19:05:10,463 - INFO - leon4 se movió a la posición [10, 3]
2023-12-04 19:05:10,463 - INFO - leon5 se movió a la posición [7, 9]
2023-12-04 19:05:10,463 - INFO - leon6 se movió a la posición [0, 0]
2023-12-04 19:05:10,463 - INFO - leon7 se movió a la posición [2, 3]
2023-12-04 19:05:10,463 - INFO - leon8 se movió a la posición [2, 23]
2023-12-04 19:05:10,464 - INFO - leon9 se movió a la posición [7, 0]
2023-12-04 19:05:10,778 - INFO - leon se movió a la posición [4, 11]
2023-12-04 19:05:10,778 - INFO - leon2 se movió a la posición [4, 8]
2023-12-04 19:05:10,778 - INFO - leon3 se movió a la posición [5, 3]
2023-12-04 19:05:10,778 - INFO - leon4 se movió a la posición [9, 3]
2023-12-04 19:05:10,778 - INFO - leon5 se movió a la posición [6, 9]
2023-12-04 19:05:10,778 - INFO - leon6 se movió a la posición [0, 0]
2023-12-04 19:05:10,779 - INFO - leon7 se movió a la posición [3, 3]
2023-12-04 19:05:10,779 - INFO - leon8 se movió a la posición [2, 24]
2023-12-04 19:05:10,779 - INFO - leon9 se movió a la posición [7, 0]
2023-12-04 19:05:11,079 - INFO - leon se movió a la posición [3, 11]
2023-12-04 19:05:11,080 - INFO - leon2 se movió a la posición [4, 7]
2023-12-04 19:05:11,080 - INFO - leon3 se movió a la posición [5, 4]
2023-12-04 19:05:11,081 - INFO - leon4 se movió a la posición [9, 4]
2023-12-04 19:05:11,081 - INFO - leon5 se movió a la posición [6, 8]
2023-12-04 19:05:11,081 - INFO - leon6 se movió a la posición [0, 0]
2023-12-04 19:05:11,082 - INFO - leon7 se movió a la posición [3, 2]
2023-12-04 19:05:11,082 - INFO - leon8 se movió a la posición [1, 24]
